ID,Role,Experience,Intruments created (aprox.),Example Instruments,Langs,Tools (Software),Tools (Hardware),Platforms,,,
1,Music Technology researcher and professor. ,30,10,"FMOL, reactable (and many more) ","C++, Pd",,"Sensors, cameras, projectors... It really depends on the instrument. I have also designed many mouse-based or touch-screen based instruments.","Linux, OSX, Windows, Android, IOS",,,
2,Owner of Mutable Instruments,11,35,"Mutable Instruments Shruthi, Anushri, Ambika, MIDIpal ; and Eurorack line","C++, python","vim, make, gcc, OpenOCD","STMicroelectronics Discovery boards, Olimex ARM-USB-OCD ",STM32F,,,
3,Digital artist/performer/composer,10,4,"Soft Revolvers, Ballistics, autopsy.glass","Supercollider, Max, Python, OpenScad, Touchdesigner, Processing, Javascript","Fusion 360,  Blender, Ableton, Eagle","modular synths, CNC, laser cutter, 3D printer, x-io, Arduino",Supercollider,,,
4,Artist,30,3,"Personal ones - the lady's glove, the Spring spare",max map,max msp,"MAC power book, Motu ultra lite",max map,,,
5,Software Engineer,6,3,Polaron and other prototypes ,"c, c++, (java / javascript for non DMI work)",Visual Studio Code / Teensyduino,Mainly Teensy / tried others like Bela / Raspberry / Axoloti ,Teensy,,,
6,Software Engineering Manager,11,lots :-) (8+),"Eigenharp, LinnStrument, GECO, Animoog, Model 15 App, Minimoog Model D App, Moog One, Claravox","Objective-C, C++, Swift, C, Bash, Python","Xcode, Electroacoustic Toolbox, MIO Console 3D, Grapher, CurveExpert Pro","Computers, Mobile IO ULN-8, various MIDI Controllers, headphones of various qualities, speakers of various qualities, acoustically treated room","macOS, Windows, Linux",,,
7,CEO,8,~100,"Eurorack Modular, Desktop Synth, Effects Pedals, Audio Dev board","C++, Python, Csound, Arduino","Max/MSP, EAGLE CAD, Ableton Live, Audacity","oscilloscope, bench meter, audio mixer, soldering iron, spectrum analyzer","Arduino, Daisy, Raspberry Pi",,,
8,Composer ,4,~2,"No published products, tools for personal use",None in relation to this,"For this project:
Max 
Reaktor
Variety of sample based synthesisers, Omnisphere for example
It uses Ableton as host/mixer/midi router
","For current project:
Sensel Morph
Variety of conventional midi controllers, Faderfox etc
Octatrack",Mac Windows,,,
9,Not provided,Not provided,Not provided,Linnstrument,"c, c++",Rhino,Not provided,Arm,,,
10,CEO & Founder,10,5,Artiphon INSTRUMENT 1; Artiphon Orba; projects in development,C; C++; Apple Metal,"JUCE; Solidworks; Various DAWs (Logic Pro, Ableton, etc.)",3D printing; laser cutters; CNC machines; soft-tooling; mass manufacturing; screwdrivers,Compatibility: MacOS; Windows; iOS; Android,,,
11,Researcher and Lecturer,10,20,"The BladeAxe, the PlateAxe, the Chanforgnophone, the Gramophone, Nuance, and many more.","Faust, PureData, C++, Objective-C, WebAssembly",SolidWorks and OpenSCAD,"RPI, the Teensy, ESP32 boards, Zybo Z7, Android and iOS devices","Android, iOS, Linux, Free RTOS, Bare metal",,,
12,CEO & Founder,13,3,"AlphaSphere, BetaLoop, NUSIC","C++, Kotlin, Python","VScode, Xcode, Android Studio",Injection Moulding,cross platform,,"
",
